Law-Name,Category,Chapter,Article-Category,Article-Number,Article-Description,Punishment
"
Sexual offence: Child
Defilement ",NA,NA,Felony,133,"Insertion of sexual organ/body
part/object into a child's sexual
organ, anus, or mouth; any act
for bodily pleasure. ","20-25 years’ imprisonment.
Life imprisonment if the
child is under 14 or if it
results in incurable
illness/disability."
"
sexual offence: Aggravated
Child
Defilement",NA,NA,Felony,133,"Committed on a child under 14
years. Either Resulting in an
incurable illness or disability.
Or followed by cohabitation as
husband and wife.",Life imprisonment
sexual offence:Rape,NA,NA,Felony,144,"Forced sexual intercourse or
penetration by force, threats,
trickery, authority, or victim's
vulnerability.","10-15 years’ imprisonment
+ fine (FRW 1,000,000 -
FRW 2,000,000). Higher
penalties for specific
circumstances. "
Sexual offences: Aggravated Rape,NA,NA,Felony,134,"Rape of a person over 65,
disabled, or unable to defend
themselves.","15-20 years’ imprisonment,
FRW 1M-2M fine "
Sexual offences: Aggravated Rape,NA,NA,Felony,134,"Rape resulting in an incurable
illness or disability. ","
20-25 years’ imprisonment,
FRW 500K-1M fine "
Sexual offences: Aggravated Rape,NA,NA,Felony,134,"Rape committed by multiple
persons, resulted in death, on a
second-degree relative, or
intended to infect with an
incurable illness. ",Life imprisonment
"Sexual offence:Indecent
Assault  ",NA,NA,Misdemeanour,135,"Any indecent act on another
person’s body without their
consent.","1-2 years’ imprisonment +
fine (FRW 100,000 - FRW
300,000). Doubled penalties
for certain offenders. "
"
Sexual offence: Aggravated
Indecent
Assault ",NA,NA,Misdemeanour,135,"
Committed in public.","2-3 years’ imprisonment,
FRW 500K-1M fine "
"
Sexual offence: Indecent  Assault
(with aggravating factors)",NA,NA,Misdemeanour,135,"
Offender is a relative, teacher,
authority figure, medical
personnel, or used
threats/force. ","
Double the penalty of base
offence "
offence against moralityAdultery,NA,NA,Misdemeanour,136,"Sexual intercourse with
someone other than one’s
spouse. ","6 months - 1 year
imprisonment. Only
prosecuted upon the
spouse’s complaint. "
"

Offence against morality:Sexual  Violence
 Against a Spouse  ",NA,NA,Misdemeanour,137,"
Committing physical and
sexual violence against their
spouse.
Committing physical and
sexual violence against their
spouse.",3-5 years’ imprisonment.
Offence against morarity Concubinage,NA,NA,Misdemeanour,138,"Living as husband and wife
with someone other than a
legal spouse while being
married.",1-2 years’ imprisonment.
"Offences against morality: Desertion of
Marital
Home ",NA,NA,Petty Offence,139,"
Leaving the marital home for
more than 2 months without
serious reasons or
Husband deserts pregnant wife
for more than one month
without serious reason.","
3-6 months imprisonment.
If the wife is pregnant, the
husband is penalized for
desertion after 1 month. "
Offence against morality: Bigamy,NA,NA,Misdemeanour,141,"Entering a new marriage while
still legally married.  ","1-2 years’ imprisonment +
fine (FRW 300,000 - FRW
500,000). "
"
sexual offence: Bestiality ",NA,NA,Misdemeanour,142,"
Engaging in a sexual act with
an animal. ","6 months - 1 year
imprisonment "
"Sexual offence:Aggravated
Bestiality",NA,NA,Felony,142,"Causing another person to
engage in a sexual act with an
animal.","
7-10 years’ imprisonment,
FRW 3M-5M fine"
"Offence against morality:Public
Indecency ",NA,NA,Misdemeanour,143,"Performing an indecent act in
public. ",6 months - 2 years’ imprisonment.
"
Privacy offence: Violation of
Domicile ",NA,NA,Petty Offence,155,"
Unauthorized entry into
another person's home, house,
room, or accommodation.","
2 to 6 months
imprisonment, fine between
FRW 500,000 and FRW
1,000,000"
"Privacy offence: Aggravated
Violation of
Domicile ",NA,NA,Misdemeanour,155,"
Unauthorized entry using
threats, housebreaking, or false
keys. ","
3 to 5 years imprisonment,
fine between FRW
1,000,000 and FRW
2,000,000 or one of these
penalties."
"
Privacy offence: Secretly Listening to
Conversations",NA,NA,Misdemeanour,156,"
Secretly listening to or
disclosing confidential
statements without
authorization. ","
6 months to 1 year
imprisonment, fine between
FRW 1,000,000 and FRW
2,000,000 or one of these
penalties."
"
Privacy offence: Unauthorized Recording and
Disclosure ",NA,NA,Misdemeanour,156,"

Taking a photo, audio, or video
recording and disclosing them
without authorization.","
6 months to 1 year
imprisonment, fine between
FRW 1,000,000 and FRW
2,000,000 or one of these
penalties."
